timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753504007958,04:26:47.958,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,17.3,297.26,1.8
1753504008248,04:26:48.248,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,17.3,297.26,1.8
1753504008354,04:26:48.354,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,17.3,297.26,2.0
1753504008471,04:26:48.471,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,18.5,297.26,2.0
1753504008602,04:26:48.602,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,18.5,297.26,2.0
1753504008706,04:26:48.706,AAVE/USDT:USDT,297.24,12.5,297.23,20.7,297.25,18.5,297.26,2.0
1753504008808,04:26:48.808,AAVE/USDT:USDT,297.24,10.7,297.23,20.7,297.25,18.5,297.26,1.8
1753504009052,04:26:49.052,AAVE/USDT:USDT,297.24,10.7,297.23,19.9,297.25,18.5,297.26,1.8
1753504009156,04:26:49.156,AAVE/USDT:USDT,297.24,11.5,297.23,19.9,297.25,18.5,297.26,1.8
1753504009259,04:26:49.259,AAVE/USDT:USDT,297.24,11.5,297.23,19.9,297.25,18.5,297.26,1.8
1753504009404,04:26:49.404,AAVE/USDT:USDT,297.24,11.5,297.23,20.0,297.25,18.5,297.26,1.8
1753504009567,04:26:49.567,AAVE/USDT:USDT,297.24,11.5,297.23,20.0,297.25,18.5,297.26,1.8
1753504009669,04:26:49.669,AAVE/USDT:USDT,297.24,11.5,297.23,20.0,297.25,18.5,297.26,1.8
1753504009770,04:26:49.770,AAVE/USDT:USDT,297.24,11.5,297.23,20.0,297.25,18.5,297.26,1.8
1753504010070,04:26:50.070,AAVE/USDT:USDT,297.24,11.6,297.23,24.3,297.25,18.5,297.26,1.8
1753504010173,04:26:50.173,AAVE/USDT:USDT,297.24,11.6,297.23,24.3,297.25,18.5,297.26,1.8
1753504010279,04:26:50.279,AAVE/USDT:USDT,297.27,28.4,297.26,28.5,297.28,1.3,297.29,0.2
1753504010380,04:26:50.380,AAVE/USDT:USDT,297.31,39.6,297.3,13.3,297.32,0.1,297.33,0.6
1753504010483,04:26:50.483,AAVE/USDT:USDT,297.31,39.6,297.3,13.3,297.32,3.3,297.33,0.6
1753504010585,04:26:50.585,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.3,297.33,0.6
1753504010689,04:26:50.689,AAVE/USDT:USDT,297.31,40.3,297.3,13.3,297.32,3.5,297.33,0.6
1753504010794,04:26:50.794,AAVE/USDT:USDT,297.31,40.3,297.3,13.3,297.32,3.5,297.33,0.6
1753504010900,04:26:50.900,AAVE/USDT:USDT,297.31,40.3,297.3,13.3,297.32,3.5,297.33,0.6
1753504011012,04:26:51.012,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.5,297.33,0.6
1753504011114,04:26:51.114,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.5,297.33,0.6
1753504011221,04:26:51.221,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.5,297.33,0.6
1753504011353,04:26:51.353,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.6,297.33,0.6
1753504011456,04:26:51.456,AAVE/USDT:USDT,297.31,39.5,297.3,13.3,297.32,3.6,297.33,0.6
1753504011559,04:26:51.559,AAVE/USDT:USDT,297.31,43.7,297.3,20.7,297.32,3.6,297.33,0.6
1753504011663,04:26:51.663,AAVE/USDT:USDT,297.31,43.7,297.3,20.7,297.32,3.6,297.33,0.6
1753504011776,04:26:51.776,AAVE/USDT:USDT,297.32,18.4,297.31,17.5,297.33,1.4,297.34,0.4
1753504011878,04:26:51.878,AAVE/USDT:USDT,297.32,18.0,297.31,17.1,297.33,1.4,297.34,0.4
1753504011982,04:26:51.982,AAVE/USDT:USDT,297.32,18.4,297.31,17.1,297.33,0.7,297.34,0.4
1753504012090,04:26:52.090,AAVE/USDT:USDT,297.32,18.4,297.31,17.1,297.33,0.7,297.34,0.4
1753504012195,04:26:52.195,AAVE/USDT:USDT,297.32,18.4,297.31,17.1,297.33,0.7,297.34,0.4
1753504012300,04:26:52.300,AAVE/USDT:USDT,297.32,18.4,297.31,17.1,297.33,0.7,297.34,0.4
1753504012403,04:26:52.403,AAVE/USDT:USDT,297.32,18.4,297.31,17.3,297.33,0.7,297.34,0.4
1753504012506,04:26:52.506,AAVE/USDT:USDT,297.32,18.4,297.31,17.3,297.33,0.7,297.34,0.4
1753504012608,04:26:52.608,AAVE/USDT:USDT,297.32,18.4,297.31,17.3,297.33,0.7,297.34,0.4
1753504012713,04:26:52.713,AAVE/USDT:USDT,297.32,18.4,297.31,17.3,297.33,0.7,297.34,0.4
1753504012820,04:26:52.820,AAVE/USDT:USDT,297.33,31.4,297.32,13.8,297.34,2.8,297.35,6.4
1753504012923,04:26:52.923,AAVE/USDT:USDT,297.34,29.5,297.33,12.1,297.35,3.5,297.36,3.1
1753504013026,04:26:53.026,AAVE/USDT:USDT,297.34,27.0,297.33,7.9,297.35,7.1,297.36,3.1
1753504013129,04:26:53.129,AAVE/USDT:USDT,297.34,27.0,297.33,7.9,297.35,6.8,297.36,3.1
1753504013231,04:26:53.231,AAVE/USDT:USDT,297.34,27.0,297.33,7.9,297.35,6.8,297.36,3.1
1753504013333,04:26:53.333,AAVE/USDT:USDT,297.33,7.7,297.32,11.7,297.34,24.1,297.35,9.6
1753504013434,04:26:53.434,AAVE/USDT:USDT,297.33,7.8,297.32,11.7,297.34,15.3,297.35,11.8
1753504013638,04:26:53.638,AAVE/USDT:USDT,297.32,0.1,297.31,9.3,297.33,25.3,297.34,25.1
1753504013843,04:26:53.843,AAVE/USDT:USDT,297.31,5.7,297.3,3.2,297.32,34.5,297.33,19.5
1753504013946,04:26:53.946,AAVE/USDT:USDT,297.31,5.7,297.3,3.2,297.32,30.5,297.33,19.5
1753504014111,04:26:54.111,AAVE/USDT:USDT,297.31,5.7,297.3,3.2,297.32,30.5,297.33,19.5
1753504014315,04:26:54.315,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,19.5
1753504014421,04:26:54.421,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,17.0
1753504014524,04:26:54.524,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,17.0
1753504014626,04:26:54.626,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,17.0
1753504014764,04:26:54.764,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,20.3
1753504014868,04:26:54.868,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,20.3
1753504014971,04:26:54.971,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,20.3
1753504015111,04:26:55.111,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,20.3
1753504015267,04:26:55.267,AAVE/USDT:USDT,297.31,5.9,297.3,3.2,297.32,30.5,297.33,20.3
1753504015421,04:26:55.421,AAVE/USDT:USDT,297.31,7.9,297.3,3.3,297.32,30.7,297.33,17.0
1753504015522,04:26:55.522,AAVE/USDT:USDT,297.31,9.6,297.3,3.3,297.32,19.6,297.33,14.1
1753504015653,04:26:55.653,AAVE/USDT:USDT,297.31,9.6,297.3,3.3,297.32,19.6,297.33,14.1
1753504015754,04:26:55.754,AAVE/USDT:USDT,297.31,8.1,297.3,3.3,297.32,19.6,297.33,14.1
1753504015859,04:26:55.859,AAVE/USDT:USDT,297.31,8.1,297.3,3.3,297.32,19.6,297.33,14.1
1753504015962,04:26:55.962,AAVE/USDT:USDT,297.31,8.1,297.3,3.3,297.32,19.6,297.33,14.1
1753504016064,04:26:56.064,AAVE/USDT:USDT,297.31,8.1,297.3,3.3,297.32,19.6,297.33,14.1
1753504016168,04:26:56.168,AAVE/USDT:USDT,297.31,8.9,297.3,3.3,297.32,19.6,297.33,14.1
1753504016273,04:26:56.273,AAVE/USDT:USDT,297.31,9.0,297.3,3.3,297.32,19.6,297.33,14.1
1753504016379,04:26:56.379,AAVE/USDT:USDT,297.31,13.4,297.3,8.0,297.32,0.3,297.33,14.1
1753504016485,04:26:56.485,AAVE/USDT:USDT,297.31,13.4,297.3,12.2,297.32,0.3,297.33,12.7
1753504016589,04:26:56.589,AAVE/USDT:USDT,297.31,13.4,297.3,12.2,297.32,0.3,297.33,3.7
1753504016691,04:26:56.691,AAVE/USDT:USDT,297.31,13.4,297.3,12.2,297.32,0.3,297.33,3.7
1753504016794,04:26:56.794,AAVE/USDT:USDT,297.31,13.4,297.3,12.2,297.32,0.3,297.33,3.7
1753504016898,04:26:56.898,AAVE/USDT:USDT,297.31,13.4,297.3,8.0,297.32,0.3,297.33,3.7
1753504017015,04:26:57.015,AAVE/USDT:USDT,297.31,13.4,297.3,13.9,297.32,0.3,297.33,0.1
1753504017118,04:26:57.118,AAVE/USDT:USDT,297.31,13.4,297.3,13.9,297.32,0.3,297.33,0.1
1753504017255,04:26:57.255,AAVE/USDT:USDT,297.31,13.4,297.3,13.9,297.32,0.3,297.33,0.1
1753504017402,04:26:57.402,AAVE/USDT:USDT,297.31,13.7,297.3,13.9,297.32,0.3,297.33,0.1
1753504017555,04:26:57.555,AAVE/USDT:USDT,297.31,13.7,297.3,13.9,297.32,0.3,297.33,0.1
1753504017658,04:26:57.658,AAVE/USDT:USDT,297.32,36.3,297.31,9.2,297.33,0.1,297.34,1.8
1753504017764,04:26:57.764,AAVE/USDT:USDT,297.34,20.0,297.33,18.5,297.35,2.5,297.36,3.1
1753504017865,04:26:57.865,AAVE/USDT:USDT,297.35,18.8,297.34,14.6,297.36,3.0,297.37,5.8
1753504017967,04:26:57.967,AAVE/USDT:USDT,297.35,12.9,297.34,11.9,297.36,8.5,297.37,5.8
1753504018071,04:26:58.071,AAVE/USDT:USDT,297.35,11.1,297.34,11.9,297.36,8.6,297.37,6.3
