timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753504004335,04:26:44.335,AAVE/USDT:USDT,297.03,39.0,297.0,925.0,297.05,43.0,297.06,100.0
1753504005336,04:26:45.336,AAVE/USDT:USDT,297.03,223.0,297.02,464.0,297.05,22.0,297.06,98.0
1753504006339,04:26:46.339,AAVE/USDT:USDT,297.03,75.0,297.01,211.0,297.05,22.0,297.06,325.0
1753504007339,04:26:47.339,AAVE/USDT:USDT,297.03,217.0,297.0,471.0,297.05,15.0,297.06,98.0
1753504007841,04:26:47.841,AAVE/USDT:USDT,297.03,64.0,297.0,729.0,297.05,27.0,297.06,98.0
1753504008842,04:26:48.842,AAVE/USDT:USDT,297.03,5.0,297.02,61.0,297.05,28.0,297.06,98.0
1753504009342,04:26:49.342,AAVE/USDT:USDT,297.02,65.0,297.0,1268.0,297.05,28.0,297.06,98.0
1753504009855,04:26:49.855,AAVE/USDT:USDT,297.02,68.0,297.0,1268.0,297.05,32.0,297.07,110.0
1753504010845,04:26:50.845,AAVE/USDT:USDT,297.09,233.0,297.05,785.0,297.1,1.0,297.11,42.0
1753504011360,04:26:51.360,AAVE/USDT:USDT,297.09,233.0,297.05,785.0,297.1,1.0,297.11,42.0
1753504011843,04:26:51.843,AAVE/USDT:USDT,297.09,208.0,297.07,485.0,297.1,1.0,297.11,42.0
1753504012352,04:26:52.352,AAVE/USDT:USDT,297.09,208.0,297.07,485.0,297.11,42.0,297.12,64.0
1753504013442,04:26:53.442,AAVE/USDT:USDT,297.12,6.0,297.1,5.0,297.14,81.0,297.16,168.0
1753504013843,04:26:53.843,AAVE/USDT:USDT,297.1,13.0,297.08,68.0,297.12,222.0,297.14,1137.0
1753504014354,04:26:54.354,AAVE/USDT:USDT,297.1,10.0,297.08,68.0,297.12,222.0,297.14,1137.0
1753504015357,04:26:55.357,AAVE/USDT:USDT,297.1,4.0,297.09,931.0,297.12,197.0,297.16,1130.0
1753504015845,04:26:55.845,AAVE/USDT:USDT,297.1,22.0,297.09,904.0,297.12,5.0,297.13,36.0
1753504016358,04:26:56.358,AAVE/USDT:USDT,297.1,22.0,297.09,904.0,297.13,37.0,297.15,1002.0
1753504017359,04:26:57.359,AAVE/USDT:USDT,297.11,56.0,297.1,3.0,297.13,1.0,297.14,20.0
1753504017944,04:26:57.944,AAVE/USDT:USDT,297.14,58.0,297.13,701.0,297.16,139.0,297.18,179.0
1753504018366,04:26:58.366,AAVE/USDT:USDT,297.14,58.0,297.13,701.0,297.16,139.0,297.18,179.0
1753504019413,04:26:59.413,AAVE/USDT:USDT,297.17,246.0,297.16,756.0,297.18,184.0,297.19,24.0
1753504019848,04:26:59.848,AAVE/USDT:USDT,297.17,248.0,297.16,756.0,297.18,179.0,297.19,24.0
1753504020846,04:27:00.846,AAVE/USDT:USDT,297.18,182.0,297.17,2.0,297.19,24.0,297.2,3.0
1753504021363,04:27:01.363,AAVE/USDT:USDT,297.18,185.0,297.16,373.0,297.19,24.0,297.2,3.0
1753504022365,04:27:02.365,AAVE/USDT:USDT,297.25,302.0,297.23,974.0,297.27,41.0,297.28,42.0
1753504022847,04:27:02.847,AAVE/USDT:USDT,297.25,256.0,297.22,548.0,297.27,83.0,297.28,42.0
1753504023365,04:27:03.365,AAVE/USDT:USDT,297.25,256.0,297.22,548.0,297.27,87.0,297.28,39.0
1753504024367,04:27:04.367,AAVE/USDT:USDT,297.25,322.0,297.24,825.0,297.27,88.0,297.28,39.0
1753504024849,04:27:04.849,AAVE/USDT:USDT,297.25,322.0,297.24,825.0,297.27,47.0,297.29,1359.0
1753504025369,04:27:05.369,AAVE/USDT:USDT,297.25,344.0,297.24,185.0,297.28,43.0,297.29,931.0
1753504025850,04:27:05.850,AAVE/USDT:USDT,297.25,283.0,297.24,772.0,297.27,44.0,297.28,1.0
1753504026850,04:27:06.850,AAVE/USDT:USDT,297.25,195.0,297.23,651.0,297.27,49.0,297.28,1268.0
1753504027369,04:27:07.369,AAVE/USDT:USDT,297.25,197.0,297.23,651.0,297.27,49.0,297.28,1268.0
1753504028372,04:27:08.372,AAVE/USDT:USDT,297.25,105.0,297.24,755.0,297.27,5.0,297.28,23.0
1753504028852,04:27:08.852,AAVE/USDT:USDT,297.25,79.0,297.22,260.0,297.27,50.0,297.29,1281.0
1753504029387,04:27:09.387,AAVE/USDT:USDT,297.25,76.0,297.22,260.0,297.27,50.0,297.29,1281.0
1753504029855,04:27:09.855,AAVE/USDT:USDT,297.25,77.0,297.22,260.0,297.27,50.0,297.29,1281.0
1753504030854,04:27:10.854,AAVE/USDT:USDT,297.25,119.0,297.23,575.0,297.27,28.0,297.29,900.0
1753504031376,04:27:11.376,AAVE/USDT:USDT,297.25,119.0,297.23,575.0,297.27,27.0,297.29,900.0
1753504031856,04:27:11.856,AAVE/USDT:USDT,297.25,229.0,297.22,323.0,297.27,24.0,297.29,407.0
1753504032381,04:27:12.381,AAVE/USDT:USDT,297.25,226.0,297.22,323.0,297.27,24.0,297.29,407.0
1753504033379,04:27:13.379,AAVE/USDT:USDT,297.25,178.0,297.22,1209.0,297.27,23.0,297.29,404.0
1753504033859,04:27:13.859,AAVE/USDT:USDT,297.25,1.0,297.24,228.0,297.27,23.0,297.29,140.0
1753504034380,04:27:14.380,AAVE/USDT:USDT,297.25,1.0,297.24,228.0,297.27,24.0,297.29,140.0
1753504034860,04:27:14.860,AAVE/USDT:USDT,297.24,229.0,297.19,1097.0,297.27,24.0,297.29,173.0
1753504035861,04:27:15.861,AAVE/USDT:USDT,297.24,225.0,297.2,1054.0,297.27,24.0,297.29,296.0
1753504036384,04:27:16.384,AAVE/USDT:USDT,297.24,229.0,297.2,1054.0,297.27,24.0,297.29,296.0
1753504036861,04:27:16.861,AAVE/USDT:USDT,297.25,229.0,297.24,522.0,297.27,2.0,297.28,22.0
1753504037385,04:27:17.385,AAVE/USDT:USDT,297.25,229.0,297.24,522.0,297.28,27.0,297.29,107.0
1753504037861,04:27:17.861,AAVE/USDT:USDT,297.24,266.0,297.19,251.0,297.27,40.0,297.28,5.0
1753504038862,04:27:18.862,AAVE/USDT:USDT,297.25,251.0,297.24,1300.0,297.28,24.0,297.29,107.0
1753504039388,04:27:19.388,AAVE/USDT:USDT,297.25,256.0,297.24,1295.0,297.28,23.0,297.29,107.0
1753504039876,04:27:19.876,AAVE/USDT:USDT,297.25,259.0,297.24,1295.0,297.28,24.0,297.3,486.0
