timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753531550000,12:05:50.000,AGLD/USDT:USDT,0.7901,760.0,0.79,54.0,0.7905,6.0,0.7906,26.0
1753531550736,12:05:50.736,AGLD/USDT:USDT,0.7901,760.0,0.79,54.0,0.7905,6.0,0.7906,26.0
1753531551306,12:05:51.306,AGLD/USDT:USDT,0.7901,760.0,0.79,61.0,0.7905,6.0,0.7906,26.0
1753531552225,12:05:52.225,AGLD/USDT:USDT,0.7901,760.0,0.79,61.0,0.7905,13.0,0.7906,26.0
1753531552310,12:05:52.310,AGLD/USDT:USDT,0.7901,760.0,0.79,61.0,0.7905,39.0,0.7907,7.0
1753531553477,12:05:53.477,AGLD/USDT:USDT,0.7901,760.0,0.79,7.0,0.7905,39.0,0.7907,7.0
1753531554224,12:05:54.224,AGLD/USDT:USDT,0.7901,760.0,0.7898,83.0,0.7905,39.0,0.7907,7.0
1753531559140,12:05:59.140,AGLD/USDT:USDT,0.7901,760.0,0.7898,83.0,0.7905,39.0,0.7907,7.0
1753531561326,12:06:01.326,AGLD/USDT:USDT,0.7901,767.0,0.7898,83.0,0.7905,32.0,0.7909,54.0
1753531561558,12:06:01.558,AGLD/USDT:USDT,0.7901,774.0,0.7898,83.0,0.7905,6.0,0.7908,26.0
1753531561624,12:06:01.624,AGLD/USDT:USDT,0.7901,774.0,0.7898,83.0,0.7907,6.0,0.7908,26.0
1753531570146,12:06:10.146,AGLD/USDT:USDT,0.7902,815.0,0.7901,40.0,0.7907,6.0,0.7909,26.0
1753531570406,12:06:10.406,AGLD/USDT:USDT,0.7902,815.0,0.7901,40.0,0.7908,6.0,0.7909,26.0
1753531571354,12:06:11.354,AGLD/USDT:USDT,0.7902,815.0,0.7901,40.0,0.7908,6.0,0.7909,26.0
1753531571762,12:06:11.762,AGLD/USDT:USDT,0.7903,816.0,0.7902,55.0,0.7907,26.0,0.7908,13.0
1753531571851,12:06:11.851,AGLD/USDT:USDT,0.7903,823.0,0.7902,62.0,0.7906,6.0,0.7907,26.0
1753531572556,12:06:12.556,AGLD/USDT:USDT,0.7903,823.0,0.7902,62.0,0.7906,6.0,0.7907,26.0
1753531573111,12:06:13.111,AGLD/USDT:USDT,0.7903,823.0,0.7902,88.0,0.791,6.0,0.7911,26.0
1753531573222,12:06:13.222,AGLD/USDT:USDT,0.7903,823.0,0.7902,88.0,0.791,6.0,0.7911,26.0
1753531574112,12:06:14.112,AGLD/USDT:USDT,0.7903,823.0,0.7902,88.0,0.791,6.0,0.7911,26.0
1753531575114,12:06:15.114,AGLD/USDT:USDT,0.7903,823.0,0.7902,88.0,0.791,6.0,0.7911,26.0
1753531575733,12:06:15.733,AGLD/USDT:USDT,0.7903,823.0,0.7902,88.0,0.791,6.0,0.7911,26.0
1753531575826,12:06:15.826,AGLD/USDT:USDT,0.7904,311.0,0.7903,849.0,0.791,6.0,0.7911,26.0
1753531575932,12:06:15.932,AGLD/USDT:USDT,0.7904,816.0,0.7903,89.0,0.791,6.0,0.7911,26.0
1753531576046,12:06:16.046,AGLD/USDT:USDT,0.7907,378.0,0.7906,7.0,0.791,6.0,0.7911,26.0
1753531576152,12:06:16.152,AGLD/USDT:USDT,0.7907,630.0,0.7906,7.0,0.791,6.0,0.7911,33.0
1753531576459,12:06:16.459,AGLD/USDT:USDT,0.7907,378.0,0.7906,7.0,0.791,6.0,0.7911,33.0
1753531578046,12:06:18.046,AGLD/USDT:USDT,0.7904,82.0,0.7903,56.0,0.791,6.0,0.7911,40.0
1753531578069,12:06:18.069,AGLD/USDT:USDT,0.7904,816.0,0.7902,81.0,0.791,6.0,0.7911,40.0
1753531580860,12:06:20.860,AGLD/USDT:USDT,0.7904,816.0,0.7902,81.0,0.791,6.0,0.7911,40.0
1753531580884,12:06:20.884,AGLD/USDT:USDT,0.7904,823.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531581889,12:06:21.889,AGLD/USDT:USDT,0.7904,767.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531582072,12:06:22.072,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531584115,12:06:24.115,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531588254,12:06:28.254,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531591333,12:06:31.333,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531592280,12:06:32.280,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531593131,12:06:33.131,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.791,6.0,0.7911,33.0
1753531593463,12:06:33.463,AGLD/USDT:USDT,0.7904,760.0,0.7902,81.0,0.7909,87.0,0.791,60.0
1753531593546,12:06:33.546,AGLD/USDT:USDT,0.7901,26.0,0.7899,54.0,0.7908,86.0,0.7909,68.0
1753531593657,12:06:33.657,AGLD/USDT:USDT,0.7899,54.0,0.7898,493.0,0.7906,26.0,0.7907,54.0
1753531593670,12:06:33.670,AGLD/USDT:USDT,0.7899,54.0,0.7898,493.0,0.7905,6.0,0.7906,26.0
1753531593956,12:06:33.956,AGLD/USDT:USDT,0.7899,54.0,0.7898,493.0,0.7905,6.0,0.7906,26.0
1753531593966,12:06:33.966,AGLD/USDT:USDT,0.7899,814.0,0.7898,493.0,0.7905,6.0,0.7906,26.0
1753531594064,12:06:34.064,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7905,6.0,0.7906,26.0
1753531595179,12:06:35.179,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
1753531596114,12:06:36.114,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
1753531596392,12:06:36.392,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
1753531597206,12:06:37.206,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
1753531597654,12:06:37.654,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
1753531597744,12:06:37.744,AGLD/USDT:USDT,0.7899,828.0,0.7898,493.0,0.7906,6.0,0.7907,26.0
