timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753591883629,04:51:23.629,binance,AAVE/USDT:USDT,296.51,9.8,296.5,4.9,296.52,15.9,296.53,0.6
1753591883730,04:51:23.730,binance,AAVE/USDT:USDT,296.51,9.8,296.5,4.9,296.52,15.9,296.53,0.6
1753591883832,04:51:23.832,binance,AAVE/USDT:USDT,296.51,9.8,296.5,4.9,296.52,15.9,296.53,0.6
1753591883935,04:51:23.935,binance,AAVE/USDT:USDT,296.51,8.0,296.5,4.9,296.52,15.9,296.53,0.6
1753591884087,04:51:24.087,binance,AAVE/USDT:USDT,296.51,8.0,296.5,4.9,296.52,15.9,296.53,1.4
1753591884190,04:51:24.190,binance,AAVE/USDT:USDT,296.51,7.8,296.5,4.9,296.52,15.9,296.53,1.4
1753591884293,04:51:24.293,binance,AAVE/USDT:USDT,296.51,7.8,296.5,4.9,296.52,14.4,296.53,0.6
1753591884396,04:51:24.396,binance,AAVE/USDT:USDT,296.51,7.8,296.5,4.9,296.52,14.4,296.53,0.6
1753591885021,04:51:25.021,binance,AAVE/USDT:USDT,296.51,13.6,296.5,25.0,296.52,3.1,296.53,0.6
1753591885124,04:51:25.124,binance,AAVE/USDT:USDT,296.51,13.6,296.5,25.0,296.52,9.2,296.53,0.6
1753591885225,04:51:25.225,binance,AAVE/USDT:USDT,296.51,11.9,296.5,4.5,296.52,10.3,296.53,1.4
1753591885327,04:51:25.327,binance,AAVE/USDT:USDT,296.51,11.9,296.5,4.5,296.52,10.4,296.53,0.6
1753591885431,04:51:25.431,binance,AAVE/USDT:USDT,296.51,12.0,296.5,4.5,296.52,11.1,296.53,0.6
1753591885555,04:51:25.555,binance,AAVE/USDT:USDT,296.51,12.0,296.5,6.5,296.52,11.1,296.53,0.6
1753591885658,04:51:25.658,binance,AAVE/USDT:USDT,296.51,12.0,296.5,6.5,296.52,11.1,296.53,0.6
1753591885761,04:51:25.761,binance,AAVE/USDT:USDT,296.51,12.0,296.5,6.5,296.52,11.1,296.53,0.6
1753591885865,04:51:25.865,binance,AAVE/USDT:USDT,296.51,12.0,296.5,6.5,296.52,11.1,296.53,0.6
1753591885968,04:51:25.968,binance,AAVE/USDT:USDT,296.51,12.0,296.5,6.5,296.52,11.1,296.53,0.6
1753591886293,04:51:26.293,binance,AAVE/USDT:USDT,296.51,2.4,296.5,6.5,296.52,14.6,296.53,12.4
1753591886441,04:51:26.441,binance,AAVE/USDT:USDT,296.51,2.4,296.5,6.5,296.52,14.6,296.53,12.4
1753591886601,04:51:26.601,binance,AAVE/USDT:USDT,296.51,2.4,296.5,6.5,296.52,14.6,296.53,12.4
1753591886702,04:51:26.702,binance,AAVE/USDT:USDT,296.51,2.4,296.5,6.5,296.52,14.6,296.53,12.4
1753591887071,04:51:27.071,binance,AAVE/USDT:USDT,296.51,3.9,296.5,2.2,296.52,18.9,296.53,12.4
1753591887423,04:51:27.423,binance,AAVE/USDT:USDT,296.51,3.9,296.5,2.2,296.52,18.9,296.53,7.6
1753591887526,04:51:27.526,binance,AAVE/USDT:USDT,296.51,3.9,296.5,2.2,296.52,18.9,296.53,0.6
1753591887631,04:51:27.631,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,18.9,296.53,0.6
1753591887734,04:51:27.734,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,18.9,296.53,0.6
1753591887902,04:51:27.902,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,18.9,296.53,0.6
1753591888678,04:51:28.678,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,18.9,296.53,0.6
1753591888968,04:51:28.968,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,18.9,296.53,5.6
1753591889069,04:51:29.069,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,19.0,296.53,12.5
1753591889172,04:51:29.172,binance,AAVE/USDT:USDT,296.51,3.9,296.5,2.2,296.52,19.0,296.53,17.7
1753591889643,04:51:29.643,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,19.0,296.53,17.7
1753591889834,04:51:29.834,binance,AAVE/USDT:USDT,296.51,4.1,296.5,2.2,296.52,19.0,296.53,9.5
1753591889936,04:51:29.936,binance,AAVE/USDT:USDT,296.51,5.6,296.5,13.8,296.52,18.9,296.53,0.6
1753591890038,04:51:30.038,binance,AAVE/USDT:USDT,296.51,5.6,296.5,8.3,296.52,18.9,296.53,0.6
1753591890141,04:51:30.141,binance,AAVE/USDT:USDT,296.51,4.1,296.5,8.3,296.52,18.9,296.53,0.6
1753591890317,04:51:30.317,binance,AAVE/USDT:USDT,296.51,4.1,296.5,8.3,296.52,18.9,296.53,0.6
1753591890449,04:51:30.449,binance,AAVE/USDT:USDT,296.51,4.1,296.5,8.3,296.52,18.9,296.53,0.6
1753591890570,04:51:30.570,binance,AAVE/USDT:USDT,296.51,4.1,296.5,8.3,296.52,18.9,296.53,0.6
1753591890673,04:51:30.673,binance,AAVE/USDT:USDT,296.51,5.6,296.5,8.3,296.52,18.9,296.53,0.6
1753591890813,04:51:30.813,binance,AAVE/USDT:USDT,296.51,9.1,296.5,13.5,296.52,14.6,296.53,0.6
1753591890917,04:51:30.917,binance,AAVE/USDT:USDT,296.51,9.1,296.5,13.5,296.52,14.6,296.53,0.6
1753591891023,04:51:31.023,binance,AAVE/USDT:USDT,296.51,9.1,296.5,13.5,296.52,14.6,296.53,0.6
1753591891126,04:51:31.126,binance,AAVE/USDT:USDT,296.51,9.1,296.5,8.3,296.52,14.6,296.53,0.6
