timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753591884302,04:51:24.302,binance,ACE/USDT:USDT,0.5848,390.66,0.5847,265.01,0.5851,31.89,0.5852,433.97
1753591885387,04:51:25.387,binance,ACE/USDT:USDT,0.5848,390.66,0.5847,265.01,0.5851,31.89,0.5852,433.97
1753591885902,04:51:25.902,binance,ACE/USDT:USDT,0.5848,390.66,0.5847,265.01,0.5851,31.89,0.5852,433.97
1753591886042,04:51:26.042,binance,ACE/USDT:USDT,0.5848,170.96,0.5847,217.71,0.585,200.42,0.5851,223.38
1753591887802,04:51:27.802,binance,ACE/USDT:USDT,0.5848,170.96,0.5847,217.71,0.585,200.42,0.5851,223.38
1753591889002,04:51:29.002,binance,ACE/USDT:USDT,0.5848,170.96,0.5847,217.71,0.585,200.42,0.5851,223.38
1753591889138,04:51:29.138,binance,ACE/USDT:USDT,0.5848,182.26,0.5847,217.71,0.585,234.62,0.5851,223.38
1753591889621,04:51:29.621,binance,ACE/USDT:USDT,0.5848,182.26,0.5847,217.71,0.585,234.62,0.5851,223.38
1753591890375,04:51:30.375,binance,ACE/USDT:USDT,0.5848,216.46,0.5847,217.71,0.585,234.62,0.5851,223.38
1753591890618,04:51:30.618,binance,ACE/USDT:USDT,0.5848,182.26,0.5847,217.71,0.585,234.62,0.5851,223.38
1753591891202,04:51:31.202,binance,ACE/USDT:USDT,0.5848,216.46,0.5847,217.71,0.585,200.42,0.5851,257.58
1753591891357,04:51:31.357,binance,ACE/USDT:USDT,0.5848,216.46,0.5847,217.71,0.5851,257.58,0.5852,515.35
1753591891462,04:51:31.462,binance,ACE/USDT:USDT,0.5848,182.26,0.5847,217.71,0.585,200.42,0.5851,257.58
1753591891633,04:51:31.633,binance,ACE/USDT:USDT,0.5848,182.26,0.5847,217.71,0.585,200.42,0.5851,257.58
1753591891760,04:51:31.760,binance,ACE/USDT:USDT,0.5848,231.14,0.5847,217.71,0.585,200.42,0.5851,257.58
1753591892041,04:51:32.041,binance,ACE/USDT:USDT,0.5848,231.14,0.5847,217.71,0.5851,223.38,0.5852,549.55
1753591892143,04:51:32.143,binance,ACE/USDT:USDT,0.5848,231.14,0.5847,217.71,0.5851,257.58,0.5852,549.55
