timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753591885291,04:51:25.291,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.57,0.07
1753591885491,04:51:25.491,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591885591,04:51:25.591,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591885691,04:51:25.691,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591885891,04:51:25.891,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591885991,04:51:25.991,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591886291,04:51:26.291,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591886391,04:51:26.391,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.44,296.58,5.64
1753591886491,04:51:26.491,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.64
1753591886591,04:51:26.591,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.64
1753591886691,04:51:26.691,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.64
1753591886791,04:51:26.791,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.64
1753591886891,04:51:26.891,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.64
1753591887491,04:51:27.491,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.02
1753591887690,04:51:27.690,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.02
1753591887793,04:51:27.793,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.02
1753591887891,04:51:27.891,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.02
1753591888991,04:51:28.991,bybit,AAVE/USDT:USDT,296.55,2.52,296.53,0.04,296.56,2.76,296.58,5.02
1753591889091,04:51:29.091,bybit,AAVE/USDT:USDT,296.55,3.25,296.53,0.04,296.56,4.26,296.58,5.02
1753591889191,04:51:29.191,bybit,AAVE/USDT:USDT,296.55,3.25,296.53,0.04,296.56,4.26,296.58,5.02
1753591889591,04:51:29.591,bybit,AAVE/USDT:USDT,296.55,3.25,296.53,0.04,296.56,4.26,296.57,0.32
1753591889691,04:51:29.691,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591889991,04:51:29.991,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591890091,04:51:30.091,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591890190,04:51:30.190,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591890491,04:51:30.491,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591890596,04:51:30.596,bybit,AAVE/USDT:USDT,296.55,3.24,296.53,0.04,296.56,4.26,296.57,0.32
1753591890691,04:51:30.691,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,4.26,296.57,0.32
1753591890791,04:51:30.791,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,4.26,296.57,0.32
1753591890891,04:51:30.891,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.76,296.57,0.32
1753591890991,04:51:30.991,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.76,296.57,0.32
1753591891091,04:51:31.091,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,2.76,296.57,0.32
1753591891291,04:51:31.291,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,2.76,296.57,0.32
1753591891392,04:51:31.392,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,2.76,296.57,0.32
1753591891491,04:51:31.491,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,2.44,296.58,5.02
1753591891591,04:51:31.591,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,2.44,296.58,5.02
1753591891691,04:51:31.691,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,2.44,296.58,5.02
1753591891793,04:51:31.793,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,2.44,296.58,5.02
1753591891891,04:51:31.891,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,1.83,296.58,5.02
1753591892091,04:51:32.091,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,1.83,296.58,5.02
1753591892190,04:51:32.190,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,1.83,296.58,5.02
1753591892391,04:51:32.391,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,1.83,296.58,5.02
1753591892491,04:51:32.491,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,1.83,296.58,5.02
1753591892591,04:51:32.591,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,1.83,296.58,5.02
1753591892791,04:51:32.791,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,0.13
1753591892891,04:51:32.891,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,0.13
1753591892991,04:51:32.991,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,0.13
1753591893091,04:51:33.091,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,0.13
1753591893191,04:51:33.191,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,3.5
1753591893291,04:51:33.291,bybit,AAVE/USDT:USDT,296.55,3.79,296.54,0.8,296.56,0.92,296.58,3.5
1753591893391,04:51:33.391,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,0.92,296.58,3.5
1753591893491,04:51:33.491,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,0.92,296.58,3.5
1753591893592,04:51:33.592,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,0.92,296.58,3.5
1753591893691,04:51:33.691,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.84,296.56,0.92,296.58,3.5
1753591893890,04:51:33.890,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,2.86,296.56,0.92,296.58,3.5
1753591894391,04:51:34.391,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,2.86,296.56,0.92,296.58,3.5
1753591894491,04:51:34.491,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,2.06,296.56,0.92,296.58,3.5
1753591894891,04:51:34.891,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.41,296.58,5.06
1753591894991,04:51:34.991,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.41,296.58,5.06
1753591895191,04:51:35.191,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.41,296.58,4.99
1753591895391,04:51:35.391,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.41,296.58,4.99
1753591895591,04:51:35.591,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,2.41,296.58,4.99
1753591896191,04:51:36.191,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,3.91,296.57,0.62
1753591897091,04:51:37.091,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,7.54,296.58,4.99
1753591897391,04:51:37.391,bybit,AAVE/USDT:USDT,296.55,2.99,296.53,0.04,296.56,7.54,296.58,4.99
1753591897794,04:51:37.794,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,7.54,296.58,5.06
1753591897891,04:51:37.891,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,7.54,296.58,5.06
1753591898290,04:51:38.290,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,7.54,296.58,5.06
1753591898391,04:51:38.391,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,7.54,296.58,4.99
1753591898491,04:51:38.491,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,11.86,296.58,4.99
1753591898592,04:51:38.592,bybit,AAVE/USDT:USDT,296.55,3.0,296.53,0.04,296.56,11.86,296.58,4.99
1753591898791,04:51:38.791,bybit,AAVE/USDT:USDT,296.55,3.49,296.53,0.04,296.56,11.86,296.58,4.99
1753591898891,04:51:38.891,bybit,AAVE/USDT:USDT,296.55,3.49,296.53,0.04,296.56,11.86,296.58,7.01
1753591899191,04:51:39.191,bybit,AAVE/USDT:USDT,296.55,3.49,296.54,0.8,296.56,11.86,296.58,7.01
1753591899591,04:51:39.591,bybit,AAVE/USDT:USDT,296.55,4.99,296.54,1.42,296.56,10.37,296.58,1.62
1753591899691,04:51:39.691,bybit,AAVE/USDT:USDT,296.57,20.5,296.56,10.62,296.59,0.13,296.6,0.9
1753591899794,04:51:39.794,bybit,AAVE/USDT:USDT,296.58,8.19,296.57,13.04,296.59,0.09,296.6,0.9
1753591899891,04:51:39.891,bybit,AAVE/USDT:USDT,296.58,9.5,296.57,12.13,296.59,0.09,296.6,0.9
1753591899991,04:51:39.991,bybit,AAVE/USDT:USDT,296.58,10.23,296.57,12.13,296.59,0.09,296.6,0.9
1753591900090,04:51:40.090,bybit,AAVE/USDT:USDT,296.58,10.23,296.57,11.45,296.59,0.09,296.6,0.9
1753591900191,04:51:40.191,bybit,AAVE/USDT:USDT,296.58,10.33,296.57,11.45,296.59,0.69,296.6,0.86
1753591900291,04:51:40.291,bybit,AAVE/USDT:USDT,296.58,10.33,296.57,11.45,296.59,0.69,296.6,0.86
1753591900391,04:51:40.391,bybit,AAVE/USDT:USDT,296.58,10.33,296.57,11.45,296.59,0.69,296.6,0.86
1753591900491,04:51:40.491,bybit,AAVE/USDT:USDT,296.58,10.33,296.57,11.45,296.59,0.69,296.6,0.86
1753591900591,04:51:40.591,bybit,AAVE/USDT:USDT,296.58,10.33,296.57,12.13,296.59,0.69,296.6,0.86
1753591900691,04:51:40.691,bybit,AAVE/USDT:USDT,296.6,15.77,296.59,12.73,296.61,2.27,296.62,0.02
1753591900792,04:51:40.792,bybit,AAVE/USDT:USDT,296.6,16.92,296.59,11.93,296.61,2.27,296.62,0.02
1753591900891,04:51:40.891,bybit,AAVE/USDT:USDT,296.6,17.02,296.59,11.93,296.61,2.27,296.62,0.02
1753591900991,04:51:40.991,bybit,AAVE/USDT:USDT,296.6,17.02,296.59,11.93,296.61,2.27,296.62,0.02
1753591901091,04:51:41.091,bybit,AAVE/USDT:USDT,296.6,17.02,296.59,9.73,296.61,2.27,296.62,0.02
1753591901191,04:51:41.191,bybit,AAVE/USDT:USDT,296.6,17.02,296.59,9.73,296.61,2.27,296.62,0.02
1753591901291,04:51:41.291,bybit,AAVE/USDT:USDT,296.6,3.62,296.59,5.38,296.61,2.27,296.62,0.02
1753591901391,04:51:41.391,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.87,296.62,0.02
1753591901492,04:51:41.492,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,4.36,296.62,0.02
1753591901591,04:51:41.591,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591901691,04:51:41.691,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591901790,04:51:41.790,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591901991,04:51:41.991,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902091,04:51:42.091,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902191,04:51:42.191,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902292,04:51:42.292,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902391,04:51:42.391,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902491,04:51:42.491,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902691,04:51:42.691,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902791,04:51:42.791,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902891,04:51:42.891,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591902991,04:51:42.991,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903091,04:51:43.091,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903191,04:51:43.191,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903291,04:51:43.291,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903391,04:51:43.391,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903490,04:51:43.490,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903591,04:51:43.591,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903691,04:51:43.691,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903794,04:51:43.794,bybit,AAVE/USDT:USDT,296.6,2.38,296.59,1.64,296.61,2.18,296.62,0.02
1753591903891,04:51:43.891,bybit,AAVE/USDT:USDT,296.61,15.22,296.6,5.48,296.62,0.02,296.63,0.36
1753591903991,04:51:43.991,bybit,AAVE/USDT:USDT,296.61,15.32,296.6,5.38,296.62,0.02,296.63,0.36
1753591904091,04:51:44.091,bybit,AAVE/USDT:USDT,296.61,15.32,296.6,5.38,296.62,0.02,296.63,0.36
1753591904191,04:51:44.191,bybit,AAVE/USDT:USDT,296.61,15.32,296.6,5.38,296.62,0.62,296.63,0.36
1753591904291,04:51:44.291,bybit,AAVE/USDT:USDT,296.61,15.32,296.6,4.11,296.62,0.62,296.63,0.36
1753591904391,04:51:44.391,bybit,AAVE/USDT:USDT,296.61,16.45,296.6,3.38,296.62,0.62,296.63,0.36
1753591904492,04:51:44.492,bybit,AAVE/USDT:USDT,296.61,16.45,296.6,3.38,296.62,0.62,296.63,0.36
1753591904591,04:51:44.591,bybit,AAVE/USDT:USDT,296.61,16.45,296.6,3.38,296.62,0.62,296.63,0.36
1753591904690,04:51:44.690,bybit,AAVE/USDT:USDT,296.61,16.45,296.6,3.38,296.62,0.62,296.63,0.36
1753591904791,04:51:44.791,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591904891,04:51:44.891,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591904991,04:51:44.991,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591905090,04:51:45.090,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591905191,04:51:45.191,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591905291,04:51:45.291,bybit,AAVE/USDT:USDT,296.61,17.6,296.6,2.23,296.62,0.62,296.63,0.36
1753591905391,04:51:45.391,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905491,04:51:45.491,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905591,04:51:45.591,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905691,04:51:45.691,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905791,04:51:45.791,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905891,04:51:45.891,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591905991,04:51:45.991,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591906192,04:51:46.192,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591906291,04:51:46.291,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591906391,04:51:46.391,bybit,AAVE/USDT:USDT,296.61,15.79,296.6,2.23,296.62,0.62,296.63,0.36
1753591906591,04:51:46.591,bybit,AAVE/USDT:USDT,296.61,15.8,296.6,2.23,296.62,0.62,296.63,0.36
1753591906691,04:51:46.691,bybit,AAVE/USDT:USDT,296.61,16.6,296.6,3.03,296.62,0.62,296.63,0.36
1753591906792,04:51:46.792,bybit,AAVE/USDT:USDT,296.61,16.6,296.6,3.1,296.62,0.62,296.63,0.36
1753591906891,04:51:46.891,bybit,AAVE/USDT:USDT,296.61,16.6,296.6,3.1,296.62,0.62,296.63,0.36
1753591906991,04:51:46.991,bybit,AAVE/USDT:USDT,296.61,16.6,296.6,3.03,296.62,0.62,296.63,0.36
1753591907191,04:51:47.191,bybit,AAVE/USDT:USDT,296.61,16.6,296.6,3.03,296.62,0.62,296.63,0.36
1753591907391,04:51:47.391,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591907491,04:51:47.491,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591907591,04:51:47.591,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591907791,04:51:47.791,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591907891,04:51:47.891,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591907991,04:51:47.991,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591908091,04:51:48.091,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908191,04:51:48.191,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591908291,04:51:48.291,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591908391,04:51:48.391,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908491,04:51:48.491,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908591,04:51:48.591,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908691,04:51:48.691,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908791,04:51:48.791,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908891,04:51:48.891,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591908991,04:51:48.991,bybit,AAVE/USDT:USDT,296.61,17.51,296.6,3.03,296.62,0.62,296.63,0.36
1753591909091,04:51:49.091,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591909191,04:51:49.191,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591909291,04:51:49.291,bybit,AAVE/USDT:USDT,296.61,16.71,296.6,2.23,296.62,0.62,296.63,0.36
1753591909391,04:51:49.391,bybit,AAVE/USDT:USDT,296.61,15.8,296.6,2.23,296.62,0.62,296.63,0.36
