timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753546954000,16:22:34.000,AAVE/USDT:USDT,294.92,133.0,294.91,1.0,294.93,32.0,294.98,13.0
1753546954485,16:22:34.485,AAVE/USDT:USDT,294.92,133.0,294.91,1.0,294.93,32.0,294.98,13.0
1753546954590,16:22:34.590,AAVE/USDT:USDT,294.92,133.0,294.91,1.0,294.93,32.0,294.98,13.0
1753546954622,16:22:34.622,AAVE/USDT:USDT,294.92,133.0,294.91,1.0,294.93,32.0,294.98,13.0
1753546954837,16:22:34.837,AAVE/USDT:USDT,294.92,133.0,294.91,1.0,294.93,32.0,294.98,13.0
1753546955099,16:22:35.099,AAVE/USDT:USDT,294.97,17.0,294.92,133.0,294.98,13.0,295.0,100.0
1753546955193,16:22:35.193,AAVE/USDT:USDT,294.97,17.0,294.92,133.0,294.98,13.0,295.0,100.0
1753546955384,16:22:35.384,AAVE/USDT:USDT,294.97,17.0,294.92,133.0,294.98,13.0,295.0,100.0
1753546955592,16:22:35.592,AAVE/USDT:USDT,294.97,34.0,294.92,171.0,294.98,13.0,295.01,3.0
1753546955641,16:22:35.641,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546955783,16:22:35.783,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546955801,16:22:35.801,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546955939,16:22:35.939,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956092,16:22:36.092,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956121,16:22:36.121,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956252,16:22:36.252,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956361,16:22:36.361,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956430,16:22:36.430,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956581,16:22:36.581,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956602,16:22:36.602,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546956990,16:22:36.990,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546957021,16:22:37.021,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546957341,16:22:37.341,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546957442,16:22:37.442,AAVE/USDT:USDT,294.97,34.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546957596,16:22:37.596,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546957622,16:22:37.622,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546957701,16:22:37.701,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546958068,16:22:38.068,AAVE/USDT:USDT,294.97,303.0,294.93,1.0,294.98,33.0,295.0,97.0
1753546958242,16:22:38.242,AAVE/USDT:USDT,294.97,303.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546958488,16:22:38.488,AAVE/USDT:USDT,294.97,17.0,294.93,1.0,294.98,33.0,295.01,3.0
1753546958798,16:22:38.798,AAVE/USDT:USDT,294.93,1.0,294.92,72.0,294.98,33.0,295.01,3.0
1753546958898,16:22:38.898,AAVE/USDT:USDT,294.92,17.0,294.91,1.0,294.98,110.0,295.0,132.0
1753546958962,16:22:38.962,AAVE/USDT:USDT,294.92,17.0,294.9,94.0,294.98,110.0,294.99,3.0
1753546959097,16:22:39.097,AAVE/USDT:USDT,294.9,191.0,294.89,45.0,294.98,13.0,294.99,3.0
1753546959161,16:22:39.161,AAVE/USDT:USDT,294.94,17.0,294.91,98.0,294.98,13.0,295.0,135.0
1753546959250,16:22:39.250,AAVE/USDT:USDT,294.94,17.0,294.91,98.0,294.98,13.0,295.0,135.0
1753546959497,16:22:39.497,AAVE/USDT:USDT,294.96,34.0,294.93,38.0,294.97,11.0,294.98,13.0
1753546959570,16:22:39.570,AAVE/USDT:USDT,294.96,34.0,294.93,38.0,294.97,11.0,294.98,13.0
