timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753591897405,04:51:37.405,okx,AAVE/USDT:USDT,296.57,23.5,296.56,0.2,296.58,41.0,296.6,13.4
1753591897905,04:51:37.905,okx,AAVE/USDT:USDT,296.57,24.0,296.56,0.2,296.58,41.0,296.6,13.4
1753591898205,04:51:38.205,okx,AAVE/USDT:USDT,296.57,24.0,296.56,0.2,296.58,41.0,296.6,13.4
1753591898305,04:51:38.305,okx,AAVE/USDT:USDT,296.57,24.0,296.56,0.2,296.58,41.0,296.6,13.5
1753591898605,04:51:38.605,okx,AAVE/USDT:USDT,296.57,41.2,296.56,10.6,296.58,41.0,296.6,13.5
1753591898705,04:51:38.705,okx,AAVE/USDT:USDT,296.57,41.2,296.56,10.6,296.58,41.0,296.6,13.5
1753591898805,04:51:38.805,okx,AAVE/USDT:USDT,296.57,41.2,296.56,10.6,296.58,41.0,296.6,13.5
1753591899205,04:51:39.205,okx,AAVE/USDT:USDT,296.57,41.2,296.56,10.6,296.58,41.0,296.6,13.5
1753591899705,04:51:39.705,okx,AAVE/USDT:USDT,296.59,196.3,296.58,42.0,296.6,4.3,296.61,0.4
1753591899805,04:51:39.805,okx,AAVE/USDT:USDT,296.59,216.4,296.58,42.0,296.6,4.5,296.61,0.4
1753591899905,04:51:39.905,okx,AAVE/USDT:USDT,296.59,216.4,296.58,42.0,296.6,4.5,296.61,0.4
1753591900005,04:51:40.005,okx,AAVE/USDT:USDT,296.59,205.7,296.58,42.0,296.6,4.5,296.61,0.4
1753591900205,04:51:40.205,okx,AAVE/USDT:USDT,296.59,205.0,296.58,30.6,296.6,4.4,296.61,0.4
1753591900305,04:51:40.305,okx,AAVE/USDT:USDT,296.59,216.0,296.58,62.8,296.6,1.4,296.61,0.4
1753591900505,04:51:40.505,okx,AAVE/USDT:USDT,296.59,205.0,296.58,41.6,296.6,23.3,296.61,0.1
1753591900605,04:51:40.605,okx,AAVE/USDT:USDT,296.59,216.0,296.58,41.6,296.6,1.9,296.61,0.1
1753591900705,04:51:40.705,okx,AAVE/USDT:USDT,296.59,216.0,296.58,41.6,296.6,1.9,296.61,0.1
1753591901605,04:51:41.605,okx,AAVE/USDT:USDT,296.59,205.8,296.58,30.6,296.6,63.7,296.61,0.1
1753591902005,04:51:42.005,okx,AAVE/USDT:USDT,296.59,216.8,296.58,41.6,296.6,63.7,296.61,0.1
1753591902105,04:51:42.105,okx,AAVE/USDT:USDT,296.59,216.8,296.58,41.6,296.6,63.7,296.61,0.1
1753591902205,04:51:42.205,okx,AAVE/USDT:USDT,296.59,216.8,296.58,41.6,296.6,63.7,296.61,0.1
1753591902305,04:51:42.305,okx,AAVE/USDT:USDT,296.59,185.7,296.58,30.6,296.6,63.7,296.61,0.1
1753591902405,04:51:42.405,okx,AAVE/USDT:USDT,296.59,185.7,296.58,41.6,296.6,63.7,296.61,0.1
1753591902505,04:51:42.505,okx,AAVE/USDT:USDT,296.59,185.7,296.58,41.6,296.6,63.7,296.61,0.1
1753591903105,04:51:43.105,okx,AAVE/USDT:USDT,296.59,86.6,296.58,41.6,296.6,63.7,296.61,0.1
1753591903505,04:51:43.505,okx,AAVE/USDT:USDT,296.59,225.8,296.58,42.3,296.6,63.7,296.61,0.1
1753591903705,04:51:43.705,okx,AAVE/USDT:USDT,296.59,225.8,296.58,41.6,296.6,63.7,296.61,0.1
1753591903805,04:51:43.805,okx,AAVE/USDT:USDT,296.62,207.0,296.61,50.0,296.63,0.1,296.64,1.9
1753591903905,04:51:43.905,okx,AAVE/USDT:USDT,296.62,203.0,296.61,12.0,296.63,1.0,296.64,1.9
1753591904005,04:51:44.005,okx,AAVE/USDT:USDT,296.62,223.7,296.61,12.0,296.63,0.9,296.64,1.9
1753591904105,04:51:44.105,okx,AAVE/USDT:USDT,296.62,223.7,296.61,12.0,296.63,0.9,296.64,1.9
1753591904305,04:51:44.305,okx,AAVE/USDT:USDT,296.62,223.7,296.61,12.0,296.63,0.9,296.64,1.9
1753591904405,04:51:44.405,okx,AAVE/USDT:USDT,296.62,104.3,296.61,12.0,296.63,0.9,296.64,1.9
1753591904705,04:51:44.705,okx,AAVE/USDT:USDT,296.62,224.2,296.61,12.0,296.63,0.9,296.64,1.9
1753591904805,04:51:44.805,okx,AAVE/USDT:USDT,296.62,224.2,296.61,12.0,296.63,0.9,296.64,1.9
1753591905005,04:51:45.005,okx,AAVE/USDT:USDT,296.62,224.0,296.61,12.0,296.63,0.9,296.64,1.9
1753591905405,04:51:45.405,okx,AAVE/USDT:USDT,296.62,193.0,296.61,11.7,296.63,1.0,296.64,0.2
1753591905605,04:51:45.605,okx,AAVE/USDT:USDT,296.62,193.0,296.61,11.7,296.63,1.0,296.64,0.2
1753591906005,04:51:46.005,okx,AAVE/USDT:USDT,296.62,193.6,296.61,11.7,296.63,1.0,296.64,0.2
1753591906105,04:51:46.105,okx,AAVE/USDT:USDT,296.62,193.6,296.61,11.7,296.63,1.0,296.64,0.2
1753591906205,04:51:46.205,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591906405,04:51:46.405,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591906605,04:51:46.605,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591906905,04:51:46.905,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591907005,04:51:47.005,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591907205,04:51:47.205,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591907405,04:51:47.405,okx,AAVE/USDT:USDT,296.62,195.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591907705,04:51:47.705,okx,AAVE/USDT:USDT,296.62,195.7,296.61,11.7,296.63,0.8,296.64,0.2
1753591908005,04:51:48.005,okx,AAVE/USDT:USDT,296.62,197.9,296.61,11.7,296.63,0.8,296.64,0.2
1753591908305,04:51:48.305,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591908505,04:51:48.505,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591908905,04:51:48.905,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909005,04:51:49.005,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909205,04:51:49.205,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909305,04:51:49.305,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909605,04:51:49.605,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909705,04:51:49.705,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591909905,04:51:49.905,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591910005,04:51:50.005,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591910105,04:51:50.105,okx,AAVE/USDT:USDT,296.62,216.0,296.61,11.7,296.63,0.8,296.64,0.2
1753591910205,04:51:50.205,okx,AAVE/USDT:USDT,296.62,212.5,296.61,11.7,296.63,0.8,296.64,0.2
1753591910405,04:51:50.405,okx,AAVE/USDT:USDT,296.62,212.5,296.61,11.7,296.63,0.8,296.64,0.2
1753591910505,04:51:50.505,okx,AAVE/USDT:USDT,296.62,200.9,296.61,11.7,296.63,0.8,296.64,0.2
1753591910805,04:51:50.805,okx,AAVE/USDT:USDT,296.62,212.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591910905,04:51:50.905,okx,AAVE/USDT:USDT,296.62,212.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591911205,04:51:51.205,okx,AAVE/USDT:USDT,296.62,212.2,296.61,11.7,296.63,0.8,296.64,0.2
1753591911305,04:51:51.305,okx,AAVE/USDT:USDT,296.62,200.9,296.61,0.1,296.63,0.8,296.64,0.2
1753591911405,04:51:51.405,okx,AAVE/USDT:USDT,296.62,212.3,296.61,11.4,296.63,0.8,296.64,0.2
1753591911505,04:51:51.505,okx,AAVE/USDT:USDT,296.62,212.5,296.61,11.4,296.63,0.8,296.64,0.2
1753591911805,04:51:51.805,okx,AAVE/USDT:USDT,296.62,20.6,296.61,0.1,296.63,19.6,296.64,9.1
1753591911905,04:51:51.905,okx,AAVE/USDT:USDT,296.62,38.5,296.61,11.4,296.63,0.8,296.64,8.4
1753591912005,04:51:52.005,okx,AAVE/USDT:USDT,296.62,122.5,296.61,11.4,296.63,0.8,296.64,0.2
1753591912205,04:51:52.205,okx,AAVE/USDT:USDT,296.62,141.8,296.61,16.1,296.63,0.8,296.64,0.2
1753591912305,04:51:52.305,okx,AAVE/USDT:USDT,296.62,141.8,296.61,16.1,296.63,0.8,296.64,0.2
1753591912705,04:51:52.705,okx,AAVE/USDT:USDT,296.62,141.8,296.61,16.1,296.63,0.8,296.64,0.2
1753591912805,04:51:52.805,okx,AAVE/USDT:USDT,296.62,141.8,296.61,16.1,296.63,0.8,296.64,0.2
1753591912905,04:51:52.905,okx,AAVE/USDT:USDT,296.62,141.8,296.61,16.1,296.63,0.8,296.64,0.2
1753591913005,04:51:53.005,okx,AAVE/USDT:USDT,296.63,208.9,296.62,36.3,296.64,1.5,296.65,25.2
1753591913205,04:51:53.205,okx,AAVE/USDT:USDT,296.63,98.1,296.62,36.3,296.64,1.7,296.65,25.2
1753591913305,04:51:53.305,okx,AAVE/USDT:USDT,296.63,69.7,296.62,25.0,296.64,1.7,296.65,25.2
1753591913505,04:51:53.505,okx,AAVE/USDT:USDT,296.63,94.9,296.62,21.2,296.64,1.7,296.65,25.2
1753591913605,04:51:53.605,okx,AAVE/USDT:USDT,296.63,214.5,296.62,21.2,296.64,1.7,296.65,25.2
1753591913805,04:51:53.805,okx,AAVE/USDT:USDT,296.63,95.1,296.62,21.2,296.64,1.7,296.65,25.2
1753591913905,04:51:53.905,okx,AAVE/USDT:USDT,296.63,214.5,296.62,21.2,296.64,1.7,296.65,25.2
1753591914105,04:51:54.105,okx,AAVE/USDT:USDT,296.63,95.1,296.62,21.2,296.64,1.7,296.65,25.2
1753591914305,04:51:54.305,okx,AAVE/USDT:USDT,296.63,214.5,296.62,21.2,296.64,1.7,296.65,25.2
1753591914505,04:51:54.505,okx,AAVE/USDT:USDT,296.63,214.9,296.62,21.2,296.64,1.7,296.65,25.2
1753591914605,04:51:54.605,okx,AAVE/USDT:USDT,296.63,95.5,296.62,21.2,296.64,1.7,296.65,25.2
1753591914705,04:51:54.705,okx,AAVE/USDT:USDT,296.63,214.9,296.62,20.7,296.64,1.1,296.65,25.2
1753591914805,04:51:54.805,okx,AAVE/USDT:USDT,296.63,64.7,296.62,20.4,296.64,1.1,296.65,25.2
1753591915005,04:51:55.005,okx,AAVE/USDT:USDT,296.63,74.0,296.62,20.4,296.64,1.1,296.65,25.2
1753591915205,04:51:55.205,okx,AAVE/USDT:USDT,296.63,74.0,296.62,20.4,296.64,1.1,296.65,25.2
1753591915605,04:51:55.605,okx,AAVE/USDT:USDT,296.63,73.8,296.62,20.4,296.64,1.1,296.65,25.2
1753591916305,04:51:56.305,okx,AAVE/USDT:USDT,296.63,222.7,296.62,19.8,296.64,0.3,296.65,25.2
1753591916405,04:51:56.405,okx,AAVE/USDT:USDT,296.64,168.7,296.63,83.0,296.65,18.2,296.66,0.1
1753591916505,04:51:56.505,okx,AAVE/USDT:USDT,296.64,151.7,296.63,83.3,296.65,18.9,296.66,0.1
1753591916605,04:51:56.605,okx,AAVE/USDT:USDT,296.64,151.7,296.63,83.3,296.65,18.9,296.66,0.1
1753591916705,04:51:56.705,okx,AAVE/USDT:USDT,296.64,151.7,296.63,83.3,296.65,18.9,296.66,0.1
1753591916805,04:51:56.805,okx,AAVE/USDT:USDT,296.64,151.7,296.63,83.3,296.65,18.9,296.66,0.1
1753591916905,04:51:56.905,okx,AAVE/USDT:USDT,296.64,151.7,296.63,83.3,296.65,18.9,296.66,0.1
1753591917105,04:51:57.105,okx,AAVE/USDT:USDT,296.64,170.3,296.63,83.3,296.65,18.9,296.66,0.1
1753591917305,04:51:57.305,okx,AAVE/USDT:USDT,296.64,32.3,296.63,83.3,296.65,18.9,296.66,0.1
1753591917505,04:51:57.505,okx,AAVE/USDT:USDT,296.64,56.7,296.63,58.3,296.65,18.9,296.66,0.1
1753591917905,04:51:57.905,okx,AAVE/USDT:USDT,296.64,195.3,296.63,58.3,296.65,18.9,296.66,0.1
1753591918205,04:51:58.205,okx,AAVE/USDT:USDT,296.64,75.9,296.63,58.3,296.65,18.9,296.66,0.1
1753591918505,04:51:58.505,okx,AAVE/USDT:USDT,296.64,57.4,296.63,58.3,296.65,18.9,296.66,0.1
1753591918905,04:51:58.905,okx,AAVE/USDT:USDT,296.64,47.1,296.63,58.3,296.65,18.9,296.66,0.1
1753591919005,04:51:59.005,okx,AAVE/USDT:USDT,296.64,169.7,296.63,58.3,296.65,18.9,296.66,0.1
1753591919305,04:51:59.305,okx,AAVE/USDT:USDT,296.64,57.4,296.63,58.3,296.65,18.9,296.66,0.1
1753591919405,04:51:59.405,okx,AAVE/USDT:USDT,296.64,57.9,296.63,58.3,296.65,18.9,296.66,0.1
1753591919505,04:51:59.505,okx,AAVE/USDT:USDT,296.64,177.5,296.63,57.9,296.65,18.9,296.66,0.1
1753591919605,04:51:59.605,okx,AAVE/USDT:USDT,296.64,58.3,296.63,57.9,296.65,18.9,296.66,0.1
1753591919705,04:51:59.705,okx,AAVE/USDT:USDT,296.64,58.3,296.63,57.9,296.65,18.9,296.66,0.1
1753591920405,04:52:00.405,okx,AAVE/USDT:USDT,296.64,59.3,296.63,57.9,296.65,18.9,296.66,8.3
1753591920805,04:52:00.805,okx,AAVE/USDT:USDT,296.64,59.5,296.63,57.5,296.65,18.9,296.66,8.3
1753591921005,04:52:01.005,okx,AAVE/USDT:USDT,296.64,59.5,296.63,57.5,296.65,18.9,296.66,8.3
1753591921305,04:52:01.305,okx,AAVE/USDT:USDT,296.64,59.6,296.63,57.5,296.65,19.1,296.66,8.3
1753591921405,04:52:01.405,okx,AAVE/USDT:USDT,296.64,196.1,296.63,57.5,296.65,19.1,296.66,8.3
1753591921705,04:52:01.705,okx,AAVE/USDT:USDT,296.69,177.2,296.68,11.4,296.7,1.2,296.71,79.3
1753591921805,04:52:01.805,okx,AAVE/USDT:USDT,296.72,26.6,296.71,16.9,296.73,3.6,296.74,41.0
1753591922005,04:52:02.005,okx,AAVE/USDT:USDT,296.72,114.9,296.71,27.4,296.73,3.8,296.74,8.7
1753591922505,04:52:02.505,okx,AAVE/USDT:USDT,296.69,0.8,296.68,1.2,296.7,205.2,296.71,12.5
1753591922705,04:52:02.705,okx,AAVE/USDT:USDT,296.69,1.0,296.68,1.2,296.7,97.7,296.71,7.8
1753591922805,04:52:02.805,okx,AAVE/USDT:USDT,296.69,1.0,296.68,1.2,296.7,97.7,296.71,7.8
1753591922905,04:52:02.905,okx,AAVE/USDT:USDT,296.69,1.0,296.68,1.2,296.7,192.2,296.71,0.1
1753591923005,04:52:03.005,okx,AAVE/USDT:USDT,296.69,22.2,296.68,1.2,296.7,21.8,296.71,0.1
1753591923105,04:52:03.105,okx,AAVE/USDT:USDT,296.69,22.2,296.68,1.2,296.7,28.6,296.71,0.1
1753591923205,04:52:03.205,okx,AAVE/USDT:USDT,296.69,22.2,296.68,1.2,296.7,28.6,296.71,0.1
1753591923605,04:52:03.605,okx,AAVE/USDT:USDT,296.69,34.4,296.68,1.2,296.7,167.2,296.71,0.1
1753591923805,04:52:03.805,okx,AAVE/USDT:USDT,296.69,34.4,296.68,1.2,296.7,28.6,296.71,0.1
1753591923905,04:52:03.905,okx,AAVE/USDT:USDT,296.69,34.4,296.68,1.2,296.7,9.8,296.71,0.1
1753591924105,04:52:04.105,okx,AAVE/USDT:USDT,296.69,34.4,296.68,1.2,296.7,9.8,296.71,0.1
1753591924405,04:52:04.405,okx,AAVE/USDT:USDT,296.69,72.0,296.68,17.6,296.7,0.5,296.71,0.1
1753591924605,04:52:04.605,okx,AAVE/USDT:USDT,296.69,90.9,296.68,17.6,296.7,0.5,296.71,0.1
1753591924805,04:52:04.805,okx,AAVE/USDT:USDT,296.69,148.0,296.68,17.6,296.7,0.5,296.71,0.1
1753591925405,04:52:05.405,okx,AAVE/USDT:USDT,296.69,90.9,296.68,12.8,296.7,0.5,296.71,0.1
1753591925805,04:52:05.805,okx,AAVE/USDT:USDT,296.69,210.5,296.68,12.8,296.7,0.5,296.71,0.1
1753591926705,04:52:06.705,okx,AAVE/USDT:USDT,296.69,93.5,296.68,12.8,296.7,0.7,296.71,0.1
1753591927105,04:52:07.105,okx,AAVE/USDT:USDT,296.73,38.9,296.72,8.2,296.74,36.0,296.75,9.7
