timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753599983338,07:06:23.338,blofin,AAVE/USDT:USDT,295.83,32.0,295.82,105.0,295.85,183.0,295.87,779.0
1753599983829,07:06:23.829,blofin,AAVE/USDT:USDT,295.83,32.0,295.81,116.0,295.85,183.0,295.87,779.0
1753599984332,07:06:24.332,blofin,AAVE/USDT:USDT,295.83,39.0,295.81,1247.0,295.85,29.0,295.87,1237.0
1753599985330,07:06:25.330,blofin,AAVE/USDT:USDT,295.83,3.0,295.82,54.0,295.85,5.0,295.87,459.0
1753599986074,07:06:26.074,blofin,AAVE/USDT:USDT,295.83,26.0,295.81,1270.0,295.85,31.0,295.87,661.0
1753599986831,07:06:26.831,blofin,AAVE/USDT:USDT,295.83,24.0,295.81,1270.0,295.85,31.0,295.87,661.0
1753599989335,07:06:29.335,blofin,AAVE/USDT:USDT,295.86,69.0,295.83,386.0,295.88,41.0,295.9,1502.0
1753599990090,07:06:30.090,blofin,AAVE/USDT:USDT,295.86,74.0,295.83,386.0,295.88,46.0,295.9,1502.0
1753599992076,07:06:32.076,blofin,AAVE/USDT:USDT,295.86,33.0,295.84,764.0,295.88,42.0,295.89,4.0
1753599992340,07:06:32.340,blofin,AAVE/USDT:USDT,295.86,30.0,295.84,764.0,295.88,42.0,295.89,4.0
1753599994080,07:06:34.080,blofin,AAVE/USDT:USDT,295.86,90.0,295.83,742.0,295.88,34.0,295.89,4.0
1753599994343,07:06:34.343,blofin,AAVE/USDT:USDT,295.86,90.0,295.83,742.0,295.88,37.0,295.9,467.0
1753599995343,07:06:35.343,blofin,AAVE/USDT:USDT,295.86,11.0,295.85,521.0,295.88,5.0,295.89,31.0
1753599996080,07:06:36.080,blofin,AAVE/USDT:USDT,295.83,3.0,295.81,1063.0,295.85,79.0,295.87,1016.0
1753599996846,07:06:36.846,blofin,AAVE/USDT:USDT,295.84,3.0,295.82,311.0,295.86,83.0,295.88,1168.0
1753599997598,07:06:37.598,blofin,AAVE/USDT:USDT,295.84,51.0,295.82,316.0,295.86,4.0,295.88,17.0
1753599998081,07:06:38.081,blofin,AAVE/USDT:USDT,295.86,33.0,295.85,225.0,295.88,18.0,295.89,1924.0
1753599998349,07:06:38.349,blofin,AAVE/USDT:USDT,295.86,33.0,295.85,225.0,295.88,19.0,295.89,1921.0
1753599999348,07:06:39.348,blofin,AAVE/USDT:USDT,295.86,6.0,295.85,750.0,295.88,6.0,295.89,41.0
1753599999848,07:06:39.848,blofin,AAVE/USDT:USDT,295.86,6.0,295.85,750.0,295.88,5.0,295.89,43.0
1753600000424,07:06:40.424,blofin,AAVE/USDT:USDT,295.9,7.0,295.88,582.0,295.92,297.0,295.93,31.0
1753600001082,07:06:41.082,blofin,AAVE/USDT:USDT,295.91,279.0,295.9,2.0,295.92,297.0,295.93,2.0
1753600001851,07:06:41.851,blofin,AAVE/USDT:USDT,295.9,2.0,295.89,16.0,295.91,21.0,295.92,443.0
1753600002352,07:06:42.352,blofin,AAVE/USDT:USDT,295.9,25.0,295.88,852.0,295.92,319.0,295.93,1288.0
1753600003353,07:06:43.353,blofin,AAVE/USDT:USDT,295.9,50.0,295.87,998.0,295.92,437.0,295.94,210.0
1753600004084,07:06:44.084,blofin,AAVE/USDT:USDT,295.9,1.0,295.89,32.0,295.92,437.0,295.94,441.0
1753600004856,07:06:44.856,blofin,AAVE/USDT:USDT,295.89,34.0,295.88,515.0,295.92,437.0,295.94,441.0
1753600005355,07:06:45.355,blofin,AAVE/USDT:USDT,295.9,113.0,295.88,91.0,295.92,440.0,295.94,95.0
1753600006085,07:06:46.085,blofin,AAVE/USDT:USDT,295.9,2.0,295.87,745.0,295.92,583.0,295.94,1377.0
1753600006915,07:06:46.915,blofin,AAVE/USDT:USDT,295.83,75.0,295.81,229.0,295.86,310.0,295.88,2463.0
