timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753617156692,11:52:36.692,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617156791,11:52:36.791,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617156891,11:52:36.891,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617156991,11:52:36.991,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617157091,11:52:37.091,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617157191,11:52:37.191,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617157291,11:52:37.291,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,2.34,295.69,0.71
1753617157391,11:52:37.391,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,4.86,295.69,5.9
1753617157793,11:52:37.793,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,4.86,295.69,5.9
1753617157891,11:52:37.891,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,3.61,295.69,4.44
1753617157992,11:52:37.992,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,3.61,295.69,4.44
1753617158091,11:52:38.091,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,3.61,295.69,4.44
1753617158292,11:52:38.292,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,3.61,295.69,4.44
1753617158592,11:52:38.592,bybit,AAVE/USDT:USDT,295.67,0.88,295.66,0.08,295.68,2.34,295.69,0.71
1753617158691,11:52:38.691,bybit,AAVE/USDT:USDT,295.67,0.17,295.66,0.08,295.68,1.53,295.69,0.71
