timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753617162905,11:52:42.905,okx,AAVE/USDT:USDT,295.61,34.7,295.6,77.6,295.62,73.6,295.63,91.8
1753617163105,11:52:43.105,okx,AAVE/USDT:USDT,295.61,34.7,295.6,77.6,295.62,98.6,295.63,91.8
1753617163605,11:52:43.605,okx,AAVE/USDT:USDT,295.61,172.7,295.6,43.7,295.62,117.7,295.63,31.7
1753617164105,11:52:44.105,okx,AAVE/USDT:USDT,295.61,53.3,295.6,58.5,295.62,107.6,295.63,6.7
1753617164305,11:52:44.305,okx,AAVE/USDT:USDT,295.61,197.3,295.6,83.1,295.62,107.6,295.63,6.7
1753617164405,11:52:44.405,okx,AAVE/USDT:USDT,295.61,212.1,295.6,83.1,295.62,107.6,295.63,6.7
1753617164505,11:52:44.505,okx,AAVE/USDT:USDT,295.62,360.2,295.61,116.0,295.63,6.9,295.64,0.3
1753617164605,11:52:44.605,okx,AAVE/USDT:USDT,295.62,366.9,295.61,132.9,295.63,6.9,295.64,0.3
1753617164905,11:52:44.905,okx,AAVE/USDT:USDT,295.65,276.6,295.64,188.4,295.66,1.3,295.67,8.7
1753617165605,11:52:45.605,okx,AAVE/USDT:USDT,295.65,251.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617165905,11:52:45.905,okx,AAVE/USDT:USDT,295.65,132.5,295.64,168.2,295.66,1.8,295.67,8.7
1753617166405,11:52:46.405,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617166505,11:52:46.505,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617167205,11:52:47.205,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617167305,11:52:47.305,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617167505,11:52:47.505,okx,AAVE/USDT:USDT,295.65,116.9,295.64,143.5,295.66,1.8,295.67,8.7
1753617167905,11:52:47.905,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617168205,11:52:48.205,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617168905,11:52:48.905,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617169005,11:52:49.005,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617169205,11:52:49.205,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617169705,11:52:49.705,okx,AAVE/USDT:USDT,295.65,275.9,295.64,168.2,295.66,1.8,295.67,8.7
1753617169905,11:52:49.905,okx,AAVE/USDT:USDT,295.65,251.2,295.64,143.5,295.66,1.8,295.67,8.7
1753617170205,11:52:50.205,okx,AAVE/USDT:USDT,295.67,156.5,295.66,98.1,295.68,25.1,295.69,49.6
1753617170405,11:52:50.405,okx,AAVE/USDT:USDT,295.67,302.0,295.66,130.6,295.68,1.0,295.7,33.9
1753617170605,11:52:50.605,okx,AAVE/USDT:USDT,295.67,295.1,295.66,123.7,295.68,9.2,295.7,33.9
1753617170905,11:52:50.905,okx,AAVE/USDT:USDT,295.67,295.3,295.66,123.7,295.68,9.2,295.7,1.6
1753617171105,11:52:51.105,okx,AAVE/USDT:USDT,295.67,295.1,295.66,123.7,295.68,9.2,295.7,1.6
1753617171205,11:52:51.205,okx,AAVE/USDT:USDT,295.67,156.5,295.66,123.7,295.68,9.2,295.7,30.8
1753617171605,11:52:51.605,okx,AAVE/USDT:USDT,295.67,332.4,295.66,162.1,295.68,9.3,295.7,1.6
1753617171805,11:52:51.805,okx,AAVE/USDT:USDT,295.69,290.3,295.68,135.8,295.7,1.4,295.71,12.5
1753617172005,11:52:52.005,okx,AAVE/USDT:USDT,295.69,307.6,295.68,135.8,295.7,1.4,295.71,12.5
1753617172405,11:52:52.405,okx,AAVE/USDT:USDT,295.69,307.2,295.68,135.8,295.7,1.3,295.71,12.5
1753617172505,11:52:52.505,okx,AAVE/USDT:USDT,295.69,307.2,295.68,135.4,295.7,1.3,295.71,12.5
1753617172805,11:52:52.805,okx,AAVE/USDT:USDT,295.69,164.0,295.68,111.1,295.7,1.3,295.71,12.5
1753617173105,11:52:53.105,okx,AAVE/USDT:USDT,295.69,132.5,295.68,76.7,295.7,1.3,295.71,12.5
