timestamp,time,exchange,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753504792406,04:39:52.406,kucoinfutures,AAVE/USDT:USDT,297.59,61.0,297.6,138.0,297.59,,
1753504821932,04:40:21.932,kucoinfutures,AAVE/USDT:USDT,297.66,86.0,297.73,53.0,297.66,,
1753504833088,04:40:33.088,kucoinfutures,AAVE/USDT:USDT,297.65,59.0,297.66,85.0,297.65,,
1753504839387,04:40:39.387,kucoinfutures,AAVE/USDT:USDT,297.56,305.0,297.57,136.0,297.56,,
1753504875908,04:41:15.908,kucoinfutures,AAVE/USDT:USDT,297.77,84.0,297.82,53.0,297.78,,
1753504886560,04:41:26.560,kucoinfutures,AAVE/USDT:USDT,297.77,84.0,297.86,124.0,297.83,,
1753504892508,04:41:32.508,kucoinfutures,AAVE/USDT:USDT,297.81,86.0,297.89,19.0,297.82,,
1753504903771,04:41:43.771,kucoinfutures,AAVE/USDT:USDT,297.94,84.0,297.97,84.0,297.94,,
1753504905020,04:41:45.020,kucoinfutures,AAVE/USDT:USDT,297.93,84.0,297.97,84.0,297.94,,
1753504912592,04:41:52.592,kucoinfutures,AAVE/USDT:USDT,298.02,486.0,298.03,104.0,298.02,,
1753504913070,04:41:53.070,kucoinfutures,AAVE/USDT:USDT,298.02,459.0,298.03,190.0,298.02,,
1753504919308,04:41:59.308,kucoinfutures,AAVE/USDT:USDT,297.95,53.0,298.03,190.0,298.02,,
1753504926081,04:42:06.081,kucoinfutures,AAVE/USDT:USDT,297.98,355.0,298.14,238.0,298.02,,
1753504927772,04:42:07.772,kucoinfutures,AAVE/USDT:USDT,298.07,84.0,298.11,84.0,298.08,,
1753504948910,04:42:28.910,kucoinfutures,AAVE/USDT:USDT,298.13,289.0,298.14,84.0,298.13,,
1753504948911,04:42:28.911,kucoinfutures,AAVE/USDT:USDT,298.13,35.0,298.14,84.0,298.13,,
1753504957561,04:42:37.561,kucoinfutures,AAVE/USDT:USDT,298.07,182.0,298.14,84.0,298.13,,
1753504972641,04:42:52.641,kucoinfutures,AAVE/USDT:USDT,298.06,83.0,298.11,83.0,298.09,,
1753504981560,04:43:01.560,kucoinfutures,AAVE/USDT:USDT,298.05,86.0,298.11,83.0,298.09,,
1753504993560,04:43:13.560,kucoinfutures,AAVE/USDT:USDT,298.0,85.0,298.11,83.0,298.03,,
1753505016304,04:43:36.304,kucoinfutures,AAVE/USDT:USDT,298.1,53.0,298.11,297.0,298.11,,
