Exchange,Type,WebSocket URL
alpaca,broker,https://broker-api.{hostname}
alpaca,trader,https://api.{hostname}
alpaca,market,https://data.{hostname}
alpaca,ws,"{'crypto': 'wss://stream.data.alpaca.markets/v1beta2/crypto', 'trading': 'wss://api.alpaca.markets/stream'}"
apex,public,https://{hostname}/api
apex,private,https://{hostname}/api
apex,ws,"{'public': 'wss://quote.omni.apex.exchange/realtime_public?v=2', 'private': 'wss://quote.omni.apex.exchange/realtime_private?v=2'}"
ascendex,rest,https://ascendex.com
ascendex,ws,"{'public': 'wss://ascendex.com:443/api/pro/v2/stream', 'private': 'wss://ascendex.com:443/{accountGroup}/api/pro/v2/stream'}"
bequant,public,https://api.bequant.io/api/3
bequant,private,https://api.bequant.io/api/3
bequant,ws,"{'public': 'wss://api.bequant.io/api/3/ws/public', 'private': 'wss://api.bequant.io/api/3/ws/trading'}"
binance,sapi,https://api.binance.com/sapi/v1
binance,sapiV2,https://api.binance.com/sapi/v2
binance,sapiV3,https://api.binance.com/sapi/v3
binance,sapiV4,https://api.binance.com/sapi/v4
binance,dapiPublic,https://dapi.binance.com/dapi/v1
binance,dapiPrivate,https://dapi.binance.com/dapi/v1
binance,eapiPublic,https://eapi.binance.com/eapi/v1
binance,eapiPrivate,https://eapi.binance.com/eapi/v1
binance,dapiPrivateV2,https://dapi.binance.com/dapi/v2
binance,dapiData,https://dapi.binance.com/futures/data
binance,fapiPublic,https://fapi.binance.com/fapi/v1
binance,fapiPublicV2,https://fapi.binance.com/fapi/v2
binance,fapiPublicV3,https://fapi.binance.com/fapi/v3
binance,fapiPrivate,https://fapi.binance.com/fapi/v1
binance,fapiPrivateV2,https://fapi.binance.com/fapi/v2
binance,fapiPrivateV3,https://fapi.binance.com/fapi/v3
binance,fapiData,https://fapi.binance.com/futures/data
binance,public,https://api.binance.com/api/v3
binance,private,https://api.binance.com/api/v3
binance,v1,https://api.binance.com/api/v1
binance,papi,https://papi.binance.com/papi/v1
binance,ws,"{'spot': 'wss://stream.binance.com:9443/ws', 'margin': 'wss://stream.binance.com:9443/ws', 'future': 'wss://fstream.binance.com/ws', 'delivery': 'wss://dstream.binance.com/ws', 'ws-api': {'spot': 'wss://ws-api.binance.com:443/ws-api/v3', 'future': 'wss://ws-fapi.binance.com/ws-fapi/v1', 'delivery': 'wss://ws-dapi.binance.com/ws-dapi/v1'}, 'papi': 'wss://fstream.binance.com/pm/ws'}"
binancecoinm,sapi,https://api.binance.com/sapi/v1
binancecoinm,sapiV2,https://api.binance.com/sapi/v2
binancecoinm,sapiV3,https://api.binance.com/sapi/v3
binancecoinm,sapiV4,https://api.binance.com/sapi/v4
binancecoinm,dapiPublic,https://dapi.binance.com/dapi/v1
binancecoinm,dapiPrivate,https://dapi.binance.com/dapi/v1
binancecoinm,eapiPublic,https://eapi.binance.com/eapi/v1
binancecoinm,eapiPrivate,https://eapi.binance.com/eapi/v1
binancecoinm,dapiPrivateV2,https://dapi.binance.com/dapi/v2
binancecoinm,dapiData,https://dapi.binance.com/futures/data
binancecoinm,fapiPublic,https://fapi.binance.com/fapi/v1
binancecoinm,fapiPublicV2,https://fapi.binance.com/fapi/v2
binancecoinm,fapiPublicV3,https://fapi.binance.com/fapi/v3
binancecoinm,fapiPrivate,https://fapi.binance.com/fapi/v1
binancecoinm,fapiPrivateV2,https://fapi.binance.com/fapi/v2
binancecoinm,fapiPrivateV3,https://fapi.binance.com/fapi/v3
binancecoinm,fapiData,https://fapi.binance.com/futures/data
binancecoinm,public,https://api.binance.com/api/v3
binancecoinm,private,https://api.binance.com/api/v3
binancecoinm,v1,https://api.binance.com/api/v1
binancecoinm,papi,https://papi.binance.com/papi/v1
binancecoinm,ws,"{'spot': 'wss://stream.binance.com:9443/ws', 'margin': 'wss://stream.binance.com:9443/ws', 'future': 'wss://fstream.binance.com/ws', 'delivery': 'wss://dstream.binance.com/ws', 'ws-api': {'spot': 'wss://ws-api.binance.com:443/ws-api/v3', 'future': 'wss://ws-fapi.binance.com/ws-fapi/v1', 'delivery': 'wss://ws-dapi.binance.com/ws-dapi/v1'}, 'papi': 'wss://fstream.binance.com/pm/ws'}"
binanceus,sapi,https://api.binance.us/sapi/v1
binanceus,sapiV2,https://api.binance.us/sapi/v2
binanceus,sapiV3,https://api.binance.us/sapi/v3
binanceus,sapiV4,https://api.binance.com/sapi/v4
binanceus,dapiPublic,https://dapi.binance.com/dapi/v1
binanceus,dapiPrivate,https://dapi.binance.com/dapi/v1
binanceus,eapiPublic,https://eapi.binance.com/eapi/v1
binanceus,eapiPrivate,https://eapi.binance.com/eapi/v1
binanceus,dapiPrivateV2,https://dapi.binance.com/dapi/v2
binanceus,dapiData,https://dapi.binance.com/futures/data
binanceus,fapiPublic,https://fapi.binance.com/fapi/v1
binanceus,fapiPublicV2,https://fapi.binance.com/fapi/v2
binanceus,fapiPublicV3,https://fapi.binance.com/fapi/v3
binanceus,fapiPrivate,https://fapi.binance.com/fapi/v1
binanceus,fapiPrivateV2,https://fapi.binance.com/fapi/v2
